Country	N_news	ISA
Algeria	1	3
Argentina	41	23
Armenia	3	0
Australia	79	32
Azerbaijan	1	0
Bahrain	1	0
Bangladesh	3	1
Belarus	9	1
Belgium	2	7
Bolivia	20	0
Bosnia	5	0
Botwsana	0	1
Brazil	167	39
Canada	109	18
Chile	17	2
China	70	8
Colombia	9	7
Croatia	37	2
Czech Republic	184	8
Denmark	12	6
Ecuador	2	4
Egypt	9	1
Estonia	1	0
Finland	76	6
France	319	16
Germany	148	55
Greece	229	1
Iceland	0	0
India	47	22
Indonesia	75	2
Iran	14	11
Iraq	2	1
Israel	61	10
Italy	454	15
Ivory Coast	1	0
Jordan	5	0
Kazakhstan	44	0
Kenya	8	1
Kyrgyzstan	11	0
Latvia	2	0
Lebanon	4	0
Madagascar	2	0
Malaysia	21	3
Marocco	1	0
Mexico	351	18
Moldovia	1	0
Montenegro	1	0
Namibia	2	0
New Zealand	130	13
Nigeria	13	1
Norway	11	2
Palestine	6	0
Panama	1	0
Paraguay	1	1
Peru	17	2
Philippines	20	1
Poland	164	10
Portugal	31	0
Puerto Rico	2	0
Qatar	3	0
Russia	490	13
Saudi Arabia	6	0
Serbia	35	2
Singapore	76	10
Slovenia	23	5
South Africa	64	9
South Korea	38	2
Spain	257	18
Sweden	22	5
Switzerland	6	15
Syria	2	0
Taiwan	54	7
Tanzania	13	0
Thailand	38	5
Turkey	129	10
UK	1097	23
Ukraine	143	3
United Arab Emirates	28	0
Uruguay	6	10
USA	616	198
Venezuela	1	0
