Variable,Variable,Estimate,SE,CI,z,p
1,edges,0.36,0.18,0 — 0.72,1.96,0.05
2,nodecov.Sensationalism,0.2,0.04,0.12 — 0.28,4.92,<0.001
3,nodecov.TotalError,0.11,0.05,0.01 — 0.2,2.2,28
4,nodecov.N_Spiders,0.54,0.04,0.47 — 0.61,14.56,<0.001
5,nodecov.Internet,0.54,0.04,0.47 — 0.62,14.18,<0.001
6,nodefactor.Language.Arabic,-0.83,0.18,-1.2 — -0.47,-4.53,<0.001
7,nodefactor.Language.Others,-0.36,0.11,-0.57 — -0.14,-3.29,1
8,nodefactor.Language.Russian,-1.75,0.15,-2.04 — -1.46,-12,<0.001
9,nodefactor.Language.Spanish,-1.33,0.13,-1.58 — -1.08,-10.52,<0.001
10,nodematch.Language,0.44,0.12,0.2 — 0.68,3.63,<0.001
